"GEOCODIG_M,N,10,0","UF,C,254","SIGLA,C,254","NOME_MUNIC,C,254","REGIão,C,254","MESORREGIã,C,254","NOME_MESO,C,254","MICRORREGI,C,254","NOME_MICRO,C,254",ibge,A172,A173,A174,A175,A176,A177,A178,A179,A180,A181,A182,A164,A195,A188,A183,A184,A185,A186,A168,A169,A167,A187,A489,A569,A570,A572,lng,lat
110001,11,RO,Alta Floresta D'Oeste,Norte,1102,Leste Rondoniense,11006,Cacoal,110001,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Não,Integrado ao sistema estadual de ensino,Não,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Sim,RO,Alta Floresta D'Oeste,24228,"-61,9998238962936","-11,9355403047646"
110002,11,RO,Ariquemes,Norte,1102,Leste Rondoniense,11003,Ariquemes,110002,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Próprio,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,RO,Ariquemes,91570,"-63,0332692780484","-9,9084628665672"
110003,11,RO,Cabixi,Norte,1102,Leste Rondoniense,11008,Colorado do Oeste,110003,Não,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Integrado ao sistema estadual de ensino,Não,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,RO,Cabixi,6221,"-60,5443135812009","-13,4997634596963"
110004,11,RO,Cacoal,Norte,1102,Leste Rondoniense,11006,Cacoal,110004,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Próprio,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,RO,Cacoal,78959,"-61,4429442118224","-11,4338650286852"
110005,11,RO,Cerejeiras,Norte,1102,Leste Rondoniense,11008,Colorado do Oeste,110005,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Próprio,Não,Não,Sim,Não,Sim,Não,Sim,Sim,Sim,Não,Sim,RO,Cerejeiras,16939,"-60,8184261646815","-13,1950330320399"
110006,11,RO,Colorado do Oeste,Norte,1102,Leste Rondoniense,11008,Colorado do Oeste,110006,Não,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Integrado ao sistema estadual de ensino,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,RO,Colorado do Oeste,18338,"-60,5550674630789","-13,1305638414553"
110007,11,RO,Corumbiara,Norte,1102,Leste Rondoniense,11008,Colorado do Oeste,110007,Não,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Integrado ao sistema estadual de ensino,Não,Não,Sim,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,RO,Corumbiara,8655,"-60,9487011706614","-12,9975202364834"
110008,11,RO,Costa Marques,Norte,1101,Madeira-Guaporé,11002,Guajará-Mirim,110008,Não,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Próprio,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,RO,Costa Marques,14023,"-64,2316539391172","-12,4360138777142"
110009,11,RO,Espigão D'Oeste,Norte,1102,Leste Rondoniense,11006,Cacoal,110009,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Integrado ao sistema estadual de ensino,Sim,Não,Sim,Não,Sim,Não,Sim,Não,Sim,Sim,Não,RO,Espigão D'Oeste,28963,"-61,0201731132847","-11,5285546333473"
110010,11,RO,Guajará-Mirim,Norte,1101,Madeira-Guaporé,11002,Guajará-Mirim,110010,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Próprio,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,RO,Guajará-Mirim,41934,"-65,3239518196923","-10,7738837406705"
110011,11,RO,Jaru,Norte,1102,Leste Rondoniense,11004,Ji-Paraná,110011,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Integrado ao sistema estadual de ensino,Sim,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,RO,Jaru,51883,"-62,4762307081317","-10,4359487678844"
110012,11,RO,Ji-Paraná,Norte,1102,Leste Rondoniense,11004,Ji-Paraná,110012,Não,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Próprio,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Sim,Não,RO,Ji-Paraná,117363,"-61,9450945826841","-10,882051318349"
110013,11,RO,Machadinho D'Oeste,Norte,1102,Leste Rondoniense,11003,Ariquemes,110013,Não,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Integrado ao sistema estadual de ensino,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Sim,Não,RO,Machadinho D'Oeste,31780,"-61,9995925724466","-9,42556248"
110014,11,RO,Nova Brasilândia D'Oeste,Norte,1102,Leste Rondoniense,11005,Alvorada D'Oeste,110014,Não,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Integrado ao sistema estadual de ensino,Sim,Não,Sim,Não,Sim,Não,Não,Sim,Não,Sim,Não,RO,Nova Brasilândia D'Oeste,19883,"-62,308230163019","-11,7213254138559"
110015,11,RO,Ouro Preto do Oeste,Norte,1102,Leste Rondoniense,11004,Ji-Paraná,110015,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não,Próprio,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,RO,Ouro Preto do Oeste,37702,"-62,2610551904363","-10,7235739008135"
110018,11,RO,Pimenta Bueno,Norte,1102,Leste Rondoniense,11007,Vilhena,110018,Não,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Integrado ao sistema estadual de ensino,Não,Sim,Sim,Não,Sim,Não,Não,Não,Sim,Sim,Não,RO,Pimenta Bueno,33981,"-61,183665673642","-11,67753699"
110020,11,RO,Porto Velho,Norte,1101,Madeira-Guaporé,11001,Porto Velho,110020,Não,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Próprio,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,RO,Porto Velho,435732,"-63,8314456543611","-8,76889179"
110025,11,RO,Presidente Médici,Norte,1102,Leste Rondoniense,11004,Ji-Paraná,110025,Não,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Integrado ao sistema estadual de ensino,Sim,Não,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,RO,Presidente Médici,22009,"-61,9094386835298","-11,1732050162268"
110026,11,RO,Rio Crespo,Norte,1102,Leste Rondoniense,11003,Ariquemes,110026,Não,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Próprio,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim,RO,Rio Crespo,3346,"-62,9000103659589","-9,70553670973949"
110028,11,RO,Rolim de Moura,Norte,1102,Leste Rondoniense,11006,Cacoal,110028,Não,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Integrado ao sistema estadual de ensino,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim,Sim,Não,RO,Rolim de Moura,50899,"-61,7857809351854","-11,7222589133808"
110029,11,RO,Santa Luzia D'Oeste,Norte,1102,Leste Rondoniense,11006,Cacoal,110029,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Integrado ao sistema estadual de ensino,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,RO,Santa Luzia D'Oeste,8678,"-61,7733054630545","-11,908423332469"
110030,11,RO,Vilhena,Norte,1102,Leste Rondoniense,11007,Vilhena,110030,Não,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Integrado ao sistema estadual de ensino,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,RO,Vilhena,77937,"-60,1385838660987","-12,7413734718029"
110032,11,RO,São Miguel do Guaporé,Norte,1102,Leste Rondoniense,11005,Alvorada D'Oeste,110032,Não,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Integrado ao sistema estadual de ensino,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,RO,São Miguel do Guaporé,21879,"-62,7200634814364","-11,699489743806"
110033,11,RO,Nova Mamoré,Norte,1101,Madeira-Guaporé,11001,Porto Velho,110033,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não,Próprio,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim,Sim,Não,RO,Nova Mamoré,23143,"-65,3291490231467","-10,4117712947002"
110034,11,RO,Alvorada D'Oeste,Norte,1102,Leste Rondoniense,11005,Alvorada D'Oeste,110034,Não,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Integrado ao sistema estadual de ensino,Não,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,RO,Alvorada D'Oeste,16625,"-62,2772748656972","-11,3441300234334"
110037,11,RO,Alto Alegre dos Parecis,Norte,1102,Leste Rondoniense,11006,Cacoal,110037,Não,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Integrado ao sistema estadual de ensino,Não,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,RO,Alto Alegre dos Parecis,12825,"-61,853077168603","-12,1317772245709"
110040,11,RO,Alto Paraíso,Norte,1102,Leste Rondoniense,11003,Ariquemes,110040,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Próprio,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Não,RO,Alto Paraíso,17444,"-63,3176294334976","-9,71666673807728"
110045,11,RO,Buritis,Norte,1101,Madeira-Guaporé,11001,Porto Velho,110045,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Não,Não,Próprio,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,RO,Buritis,32899,"-63,8296787917565","-10,2098054072356"
110050,11,RO,Novo Horizonte do Oeste,Norte,1102,Leste Rondoniense,11006,Cacoal,110050,Não,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Integrado ao sistema estadual de ensino,Sim,Não,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,Não,RO,Novo Horizonte do Oeste,10084,"-61,9943876627606","-11,7097429200152"
