ibge,csv_post_title,lng,lat,csv_post_post,csv_post_categories,csv_post_author,csv_post_slug,csv_post_type
110001,Alta Floresta D'Oeste - RO,-61.9951388,-11.9283778,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-11.9283778' lon='-61.99513880000001' z='11' width='300' height='300'],Munícipio,alta floresta doeste-ro,alta-floresta-doeste-ro,municipio
110002,Ariquemes - RO,-63.0439731,-9.9137521,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-9.9137521' lon='-63.0439731' z='11' width='300' height='300'],Munícipio,ariquemes-ro,ariquemes-ro,municipio
110003,Cabixi - RO,-60.5410791,-13.4864112,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-13.4864112' lon='-60.5410791' z='11' width='300' height='300'],Munícipio,cabixi-ro,cabixi-ro,municipio
110004,Cacoal - RO,-61.4476964,-11.4314923,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-11.4314923' lon='-61.4476964' z='11' width='300' height='300'],Munícipio,cacoal-ro,cacoal-ro,municipio
110005,Cerejeiras - RO,-60.8163618,-13.1891188,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-13.1891188' lon='-60.81636179999999' z='11' width='300' height='300'],Munícipio,cerejeiras-ro,cerejeiras-ro,municipio
110006,Colorado do Oeste - RO,-60.5445754,-13.1243261,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-13.1243261' lon='-60.5445754' z='11' width='300' height='300'],Munícipio,colorado do oeste-ro,colorado-do-oeste-ro,municipio
110007,Corumbiara - RO,-60.8164744,-12.9644571,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-12.9644571' lon='-60.8164744' z='11' width='300' height='300'],Munícipio,corumbiara-ro,corumbiara-ro,municipio
110008,Costa Marques - RO,-64.2320045,-12.4338681,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-12.4338681' lon='-64.2320045' z='11' width='300' height='300'],Munícipio,costa marques-ro,costa-marques-ro,municipio
110009,Espigão D'Oeste - RO,-61.0116206,-11.5256793,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-11.5256793' lon='-61.0116206' z='11' width='300' height='300'],Munícipio,espigão doeste-ro,espigão-doeste-ro,municipio
110010,Guajará-Mirim - RO,-65.332216,-10.7909259,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-10.7909259' lon='-65.332216' z='11' width='300' height='300'],Munícipio,guajará-mirim-ro,guajará-mirim-ro,municipio
110011,Jaru - RO,-62.4732894,-10.4324985,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-10.4324985' lon='-62.4732894' z='11' width='300' height='300'],Munícipio,jaru-ro,jaru-ro,municipio
110012,Ji-Paraná - RO,-61.9418627,-10.8808268,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-10.8808268' lon='-61.94186269999999' z='11' width='300' height='300'],Munícipio,ji-paraná-ro,ji-paraná-ro,municipio
110013,Machadinho D'Oeste - RO,-62.0042427,-9.4302291,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-9.4302291' lon='-62.0042427' z='11' width='300' height='300'],Munícipio,machadinho doeste-ro,machadinho-doeste-ro,municipio
110014,Nova Brasilândia D'Oeste - RO,-62.3311629,-11.7164906,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-11.7164906' lon='-62.3311629' z='11' width='300' height='300'],Munícipio,nova brasilândia doeste-ro,nova-brasilândia-doeste-ro,municipio
110015,Ouro Preto do Oeste - RO,-62.2549709,-10.7117207,[mapbox layers='acaoeducativa.mapadosplanos' api='' options='' lat='-10.7117207' lon='-62.2549709' z='11' width='300' height='300'],Munícipio,ouro preto do oeste-ro,ouro-preto-do-oeste-ro,municipio
