GEOCODIG_M,UF,SIGLA,NOME_MUNIC,REGI_O
110001,11,RO,"Alta Floresta D'Oeste",Norte
110002,11,RO,Ariquemes,Norte
110003,11,RO,Cabixi,Norte
110004,11,RO,Cacoal,Norte
110005,11,RO,Cerejeiras,Norte
110006,11,RO,"Colorado do Oeste",Norte
110007,11,RO,Corumbiara,Norte
110008,11,RO,"Costa Marques",Norte
110009,11,RO,"Espigão D'Oeste",Norte
110010,11,RO,Guajará-Mirim,Norte
110011,11,RO,Jaru,Norte
110012,11,RO,Ji-Paraná,Norte
110013,11,RO,"Machadinho D'Oeste",Norte
110014,11,RO,"Nova Brasilândia D'Oeste",Norte
110015,11,RO,"Ouro Preto do Oeste",Norte
110018,11,RO,"Pimenta Bueno",Norte
110020,11,RO,"Porto Velho",Norte
110025,11,RO,"Presidente Médici",Norte
110026,11,RO,"Rio Crespo",Norte
110028,11,RO,"Rolim de Moura",Norte
110029,11,RO,"Santa Luzia D'Oeste",Norte
110030,11,RO,Vilhena,Norte
110032,11,RO,"São Miguel do Guaporé",Norte
110033,11,RO,"Nova Mamoré",Norte
110034,11,RO,"Alvorada D'Oeste",Norte
110037,11,RO,"Alto Alegre dos Parecis",Norte
110040,11,RO,"Alto Paraíso",Norte
110045,11,RO,Buritis,Norte
110050,11,RO,"Novo Horizonte do Oeste",Norte
110060,11,RO,Cacaulândia,Norte
110070,11,RO,"Campo Novo de Rondônia",Norte
110080,11,RO,"Candeias do Jamari",Norte
110090,11,RO,Castanheiras,Norte
110092,11,RO,Chupinguaia,Norte
110094,11,RO,Cujubim,Norte
110100,11,RO,"Governador Jorge Teixeira",Norte
110110,11,RO,"Itapuã do Oeste",Norte
110120,11,RO,"Ministro Andreazza",Norte
110130,11,RO,"Mirante da Serra",Norte
110140,11,RO,"Monte Negro",Norte
110143,11,RO,"Nova União",Norte
110145,11,RO,Parecis,Norte
110146,11,RO,"Pimenteiras do Oeste",Norte
110147,11,RO,"Primavera de Rondônia",Norte
110148,11,RO,"São Felipe D'Oeste",Norte
110149,11,RO,"São Francisco do Guaporé",Norte
110150,11,RO,Seringueiras,Norte
110155,11,RO,Teixeirópolis,Norte
110160,11,RO,Theobroma,Norte
110170,11,RO,Urupá,Norte
110175,11,RO,"Vale do Anari",Norte
110180,11,RO,"Vale do Paraíso",Norte
120001,12,AC,Acrelândia,Norte
120005,12,AC,"Assis Brasil",Norte
120010,12,AC,Brasiléia,Norte
120013,12,AC,Bujari,Norte
120017,12,AC,Capixaba,Norte
120020,12,AC,"Cruzeiro do Sul",Norte
120025,12,AC,Epitaciolândia,Norte
120030,12,AC,Feijó,Norte
120032,12,AC,Jordão,Norte
120033,12,AC,"Mâncio Lima",Norte
120034,12,AC,"Manoel Urbano",Norte
120035,12,AC,"Marechal Thaumaturgo",Norte
120038,12,AC,"Plácido de Castro",Norte
120039,12,AC,"Porto Walter",Norte
120040,12,AC,"Rio Branco",Norte
120042,12,AC,"Rodrigues Alves",Norte
120043,12,AC,"Santa Rosa do Purus",Norte
120045,12,AC,"Senador Guiomard",Norte
120050,12,AC,"Sena Madureira",Norte
120060,12,AC,Tarauacá,Norte
120070,12,AC,Xapuri,Norte
120080,12,AC,"Porto Acre",Norte
130002,13,AM,Alvarães,Norte
130006,13,AM,Amaturá,Norte
130008,13,AM,Anamã,Norte
130010,13,AM,Anori,Norte
130014,13,AM,Apuí,Norte
130020,13,AM,"Atalaia do Norte",Norte
130030,13,AM,Autazes,Norte
130040,13,AM,Barcelos,Norte
130050,13,AM,Barreirinha,Norte
130060,13,AM,"Benjamin Constant",Norte
130063,13,AM,Beruri,Norte
130068,13,AM,"Boa Vista do Ramos",Norte
130070,13,AM,"Boca do Acre",Norte
130080,13,AM,Borba,Norte
130083,13,AM,Caapiranga,Norte
130090,13,AM,Canutama,Norte
130100,13,AM,Carauari,Norte
130110,13,AM,Careiro,Norte
130115,13,AM,"Careiro da Várzea",Norte
130120,13,AM,Coari,Norte
130130,13,AM,Codajás,Norte
130140,13,AM,Eirunepé,Norte
130150,13,AM,Envira,Norte
130160,13,AM,"Fonte Boa",Norte
130165,13,AM,Guajará,Norte
130170,13,AM,Humaitá,Norte
130180,13,AM,Ipixuna,Norte
130185,13,AM,Iranduba,Norte
130190,13,AM,Itacoatiara,Norte
130195,13,AM,Itamarati,Norte
130200,13,AM,Itapiranga,Norte
130210,13,AM,Japurá,Norte
130220,13,AM,Juruá,Norte
130230,13,AM,Jutaí,Norte
130240,13,AM,Lábrea,Norte
130250,13,AM,Manacapuru,Norte
130255,13,AM,Manaquiri,Norte
130260,13,AM,Manaus,Norte
130270,13,AM,Manicoré,Norte
130280,13,AM,Maraã,Norte
130290,13,AM,Maués,Norte
130300,13,AM,Nhamundá,Norte
130310,13,AM,"Nova Olinda do Norte",Norte
130320,13,AM,"Novo Airão",Norte
130330,13,AM,"Novo Aripuanã",Norte
130340,13,AM,Parintins,Norte
130350,13,AM,Pauini,Norte
130353,13,AM,"Presidente Figueiredo",Norte
130356,13,AM,"Rio Preto da Eva",Norte
130360,13,AM,"Santa Isabel do Rio Negro",Norte
130370,13,AM,"Santo Antônio do Içá",Norte
130380,13,AM,"São Gabriel da Cachoeira",Norte
130390,13,AM,"São Paulo de Olivença",Norte
130395,13,AM,"São Sebastião do Uatumã",Norte
130400,13,AM,Silves,Norte
130406,13,AM,Tabatinga,Norte
130410,13,AM,Tapauá,Norte
130420,13,AM,Tefé,Norte
130423,13,AM,Tonantins,Norte
130426,13,AM,Uarini,Norte
130430,13,AM,Urucará,Norte
130440,13,AM,Urucurituba,Norte
140002,14,RR,Amajari,Norte
140005,14,RR,"Alto Alegre",Norte
140010,14,RR,"Boa Vista",Norte
140015,14,RR,Bonfim,Norte
140017,14,RR,Cantá,Norte
140020,14,RR,Caracaraí,Norte
140023,14,RR,Caroebe,Norte
140028,14,RR,Iracema,Norte
140030,14,RR,Mucajaí,Norte
140040,14,RR,Normandia,Norte
140045,14,RR,Pacaraima,Norte
140047,14,RR,Rorainópolis,Norte
