wpcf-a570,wpcf-a195,wpcf-a572,post_type,lng,id,post_author,wpcf-a175,wpcf-a174,wpcf-a177,wpcf-a176,ibge,wpcf-a173,wpcf-a172,post_status,wpcf-a179,wpcf-a178,wpcf-a188,wpcf-a180,wpcf-a181,wpcf-a182,wpcf-a183,wpcf-a184,wpcf-a185,wpcf-a186,wpcf-a187,lat,wpcf-a569,comment_status,wpcf-a167,wpcf-a164,post_title,wpcf-a489,wpcf-a168,wpcf-a169
Alta Floresta D'Oeste,Não,24228,municipio,-61.9998238962936,,110001,Sim,Sim,Sim,Sim,110001,Sim,Sim,publish,Sim,Não,Não,Não,Sim,Não,Sim,Não,Sim,Não,Não,-11.9355403047646,RO,open,Não,Integrado ao sistema estadual de ensino,Alta Floresta D'Oeste - RO,Sim,Sim,Não
Ariquemes,Não,91570,municipio,-63.0332692780484,,110002,Sim,Sim,Sim,Sim,110002,Sim,Sim,publish,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,-9.9084628665672,RO,open,Sim,Próprio,Ariquemes - RO,Não,Sim,Sim
Cabixi,Não,6221,municipio,-60.5443135812009,,110003,Não aplicável,Não aplicável,Não aplicável,Não aplicável,110003,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Sim,Não,Não,-13.4997634596963,RO,open,Não,Integrado ao sistema estadual de ensino,Cabixi - RO,Não,Sim,Não
Cacoal,Não,78959,municipio,-61.4429442118224,,110004,Sim,Sim,Sim,Sim,110004,Sim,Sim,publish,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,-11.4338650286852,RO,open,Sim,Próprio,Cacoal - RO,Não,Sim,Sim
Cerejeiras,Não,16939,municipio,-60.8184261646815,,110005,Não,Sim,Não,Não,110005,Sim,Sim,publish,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,-13.1950330320399,RO,open,Sim,Próprio,Cerejeiras - RO,Sim,Sim,Sim
Colorado do Oeste,Não,18338,municipio,-60.5550674630789,,110006,Não aplicável,Não aplicável,Não aplicável,Não aplicável,110006,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Não,-13.1305638414553,RO,open,Sim,Integrado ao sistema estadual de ensino,Colorado do Oeste - RO,Sim,Sim,Sim
Corumbiara,Não,8655,municipio,-60.9487011706614,,110007,Não aplicável,Não aplicável,Não aplicável,Não aplicável,110007,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Sim,Não,Sim,-12.9975202364834,RO,open,Não,Integrado ao sistema estadual de ensino,Corumbiara - RO,Sim,Sim,Sim
Costa Marques,Sim,14023,municipio,-64.2316539391172,,110008,Não aplicável,Não aplicável,Não aplicável,Não aplicável,110008,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Sim,Não,Sim,-12.4360138777142,RO,open,Sim,Próprio,Costa Marques - RO,Não,Sim,Sim
Espigão D'Oeste,Sim,28963,municipio,-61.0201731132847,,110009,Sim,Sim,Não,Sim,110009,Sim,Sim,publish,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Sim,-11.5285546333473,RO,open,Sim,Integrado ao sistema estadual de ensino,Espigão D'Oeste - RO,Não,Sim,Não
Guajará-Mirim,Sim,41934,municipio,-65.3239518196923,,110010,Sim,Sim,Não,Não,110010,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,-10.7738837406705,RO,open,Sim,Próprio,Guajará-Mirim - RO,Não,Sim,Sim
Jaru,Sim,51883,municipio,-62.4762307081317,,110011,Sim,Sim,Sim,Sim,110011,Sim,Sim,publish,Sim,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não,Sim,-10.4359487678844,RO,open,Sim,Integrado ao sistema estadual de ensino,Jaru - RO,Sim,Sim,Sim
Ji-Paraná,Não,117363,municipio,-61.9450945826841,,110012,Não aplicável,Não aplicável,Não aplicável,Não aplicável,110012,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Sim,Sim,Sim,-10.882051318349,RO,open,Sim,Próprio,Ji-Paraná - RO,Não,Não,Não
